epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,372.176,1.11472,1.96293,1.60771,0.52631,0.71212,0.61671,0.2502,1.96674,3.52028,3.19284,0.000651515,0.000651515,0.000651515
2,749.79,1.21906,1.49238,1.72144,0.25104,0.34848,0.19827,0.05848,2.86975,3.8389,3.96085,0.00127468,0.00127468,0.00127468
3,1117.66,1.36987,1.384,1.78171,0.02089,0.48485,0.01765,0.00685,2.26468,85.7225,3.53798,0.00185385,0.00185385,0.00185385
4,1476.06,1.27969,1.2351,1.68211,0.47509,0.4697,0.39471,0.13583,2.57325,2.3404,3.6812,0.001802,0.001802,0.001802
5,1835.19,1.37028,1.29796,1.75865,0.34991,0.62121,0.31934,0.11867,1.97071,2.74135,3.17646,0.001736,0.001736,0.001736
6,2195.28,1.21978,1.17965,1.65792,0.56953,0.5303,0.55072,0.25263,1.83451,1.74535,2.65682,0.00167,0.00167,0.00167
7,2560,1.28106,1.18551,1.69567,0.56255,0.62354,0.64866,0.30286,1.76708,1.8055,2.69474,0.001604,0.001604,0.001604
8,2925.53,1.21679,1.1345,1.66408,0.59064,0.69959,0.74359,0.38376,1.54396,1.36773,2.37292,0.001538,0.001538,0.001538
9,3289.67,1.16928,1.04896,1.59654,0.74422,0.83333,0.85756,0.39574,1.69324,1.19196,2.52947,0.001472,0.001472,0.001472
10,3652.96,1.19672,1.06281,1.63059,0.84402,0.93939,0.93017,0.59738,1.27896,1.05633,2.07171,0.001406,0.001406,0.001406
11,4013.49,1.19603,1.13685,1.60984,0.73431,0.87942,0.83027,0.46099,1.39744,1.12923,2.19691,0.00134,0.00134,0.00134
12,4377.36,1.15558,1.03192,1.597,0.88334,0.92424,0.93013,0.64634,1.16236,0.9095,1.94502,0.001274,0.001274,0.001274
13,4744.98,1.07628,0.95027,1.5174,0.86361,0.95941,0.94186,0.56565,1.35341,0.90751,2.09554,0.001208,0.001208,0.001208
14,5103.96,1.04887,0.91443,1.5083,0.82728,0.87094,0.8891,0.52719,1.40201,0.95591,2.24376,0.001142,0.001142,0.001142
15,5465.66,1.05348,0.93353,1.52617,0.88295,0.83333,0.92822,0.57864,1.2197,0.84769,1.94847,0.001076,0.001076,0.001076
16,5824.69,0.99195,0.86176,1.46204,0.8682,0.95455,0.95402,0.65354,1.11982,0.75054,1.94756,0.00101,0.00101,0.00101
17,6179.93,0.97301,0.88076,1.4639,0.89424,0.98485,0.94066,0.62268,1.12799,0.6946,1.93805,0.000944,0.000944,0.000944
18,6533.45,1.01165,0.86115,1.43855,0.84294,0.90909,0.85891,0.53973,1.3078,0.84713,2.09207,0.000878,0.000878,0.000878
19,6886.94,0.97052,0.84635,1.43851,0.85663,0.9959,0.95917,0.6505,1.04833,0.79011,1.78646,0.000812,0.000812,0.000812
20,7235.98,0.96739,0.87667,1.44153,0.92099,0.93939,0.9585,0.66568,1.11364,0.67688,1.90781,0.000746,0.000746,0.000746
21,7583.62,0.82098,0.77188,1.49551,0.88558,0.98485,0.95621,0.65371,1.07101,0.66707,1.85865,0.00068,0.00068,0.00068
22,7931.36,0.73684,0.65003,1.45582,0.9092,0.9697,0.95858,0.70055,0.99153,0.64799,1.73328,0.000614,0.000614,0.000614
23,8288.69,0.72594,0.65513,1.43045,0.90133,0.98485,0.96074,0.70557,1.00115,0.62787,1.73706,0.000548,0.000548,0.000548
24,8642.6,0.70282,0.59536,1.38233,0.89841,0.98485,0.96622,0.67944,1.10285,0.64393,1.89017,0.000482,0.000482,0.000482
25,8994.83,0.69579,0.57256,1.397,0.89846,0.9697,0.95252,0.703,0.93232,0.58663,1.73496,0.000416,0.000416,0.000416
26,9344.55,0.64831,0.53973,1.30938,0.87638,0.98485,0.96761,0.70615,0.98103,0.57155,1.76199,0.00035,0.00035,0.00035
27,9699.02,0.64428,0.52142,1.3291,0.87468,0.98485,0.96747,0.74037,0.90519,0.57244,1.65204,0.000284,0.000284,0.000284
28,10051.4,0.62014,0.52363,1.27775,0.88864,0.96724,0.96089,0.72547,0.92776,0.55044,1.68533,0.000218,0.000218,0.000218
29,10403.6,0.58189,0.51309,1.2527,0.90254,0.98227,0.95956,0.71355,0.94753,0.54373,1.71041,0.000152,0.000152,0.000152
30,10755.2,0.58233,0.47927,1.25308,0.88736,0.9697,0.95966,0.71796,0.92995,0.53223,1.70021,8.6e-05,8.6e-05,8.6e-05
