                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8119,                 3.6129,                 1.5041,                0.01347,                0.38342,                0.14811,                0.06681,                 1.5077,                 3.3196,                 1.3102,                0.00023,                0.00023,                0.00023
                      2,                 1.5966,                 1.8779,                 1.3152,                0.01298,                0.52434,                0.16992,                0.08165,                 1.5732,                 3.2062,                 1.3558,             0.00046535,             0.00046535,             0.00046535
                      3,                 1.5208,                 1.6166,                 1.2978,                0.00955,                0.61169,                0.24003,                0.11941,                 1.5569,                 3.0292,                 1.3331,             0.00069594,             0.00069594,             0.00069594
                      4,                 1.5097,                 1.5249,                 1.2738,                0.89112,                0.09154,                0.19213,                0.09326,                 1.4862,                 2.7008,                 1.3557,             0.00092179,             0.00092179,             0.00092179
                      5,                 1.5258,                 1.5028,                 1.3106,                0.61192,                0.26733,                0.24012,                0.11544,                  1.576,                 1.9863,                 1.3656,              0.0009604,              0.0009604,              0.0009604
                      6,                 1.4824,                 1.4284,                  1.294,                0.70643,                0.33742,                0.35245,                0.17304,                 1.5305,                  1.509,                 1.3938,              0.0009505,              0.0009505,              0.0009505
                      7,                 1.4225,                 1.3624,                 1.2561,                0.73308,                0.31914,                0.35291,                0.18741,                 1.5096,                 1.6716,                 1.3651,              0.0009406,              0.0009406,              0.0009406
                      8,                 1.4587,                 1.3682,                 1.2805,                  0.704,                0.33946,                0.35718,                0.19127,                 1.4618,                 1.4339,                 1.3593,              0.0009307,              0.0009307,              0.0009307
                      9,                 1.4221,                 1.3008,                 1.2476,                0.54125,                 0.4061,                0.39992,                0.21367,                 1.4159,                 1.2257,                 1.3338,              0.0009208,              0.0009208,              0.0009208
                     10,                 1.4019,                 1.2299,                 1.2263,                0.55633,                  0.413,                0.42946,                0.22766,                 1.4084,                 1.1569,                  1.281,              0.0009109,              0.0009109,              0.0009109
                     11,                 1.4196,                 1.2194,                 1.2482,                0.63363,                0.44395,                0.45891,                0.23877,                 1.4268,                 1.0757,                 1.2944,               0.000901,               0.000901,               0.000901
                     12,                 1.3991,                 1.2036,                 1.2346,                0.64563,                 0.5117,                0.51333,                0.26323,                 1.3873,                 1.0425,                 1.2952,              0.0008911,              0.0008911,              0.0008911
                     13,                 1.3888,                 1.1713,                 1.2345,                0.65487,                 0.4685,                 0.4662,                0.24883,                   1.36,                 1.0485,                 1.2788,              0.0008812,              0.0008812,              0.0008812
                     14,                 1.3798,                 1.1672,                 1.2402,                0.66869,                0.49527,                0.47371,                0.24218,                 1.3529,                 1.0632,                  1.288,              0.0008713,              0.0008713,              0.0008713
                     15,                 1.3407,                 1.1195,                 1.2058,                0.57358,                0.45021,                0.46773,                0.25041,                 1.3819,                 1.0746,                  1.273,              0.0008614,              0.0008614,              0.0008614
                     16,                 1.3726,                 1.1148,                 1.2184,                0.71366,                0.38793,                0.47258,                0.25011,                 1.3499,                 1.0227,                 1.2563,              0.0008515,              0.0008515,              0.0008515
                     17,                 1.3679,                 1.1036,                 1.2146,                 0.6604,                0.42476,                0.47228,                0.25383,                 1.3414,                 1.0508,                  1.265,              0.0008416,              0.0008416,              0.0008416
                     18,                 1.3621,                 1.1182,                 1.2169,                0.63308,                0.45935,                0.48371,                0.25399,                 1.3638,                 1.0107,                  1.268,              0.0008317,              0.0008317,              0.0008317
                     19,                 1.3127,                 1.0453,                 1.1848,                 0.5979,                0.42657,                0.44918,                0.23686,                 1.4336,                 1.1366,                 1.3051,              0.0008218,              0.0008218,              0.0008218
                     20,                 1.3537,                 1.0856,                 1.2081,                  0.612,                0.50062,                0.48715,                0.25058,                 1.3594,                 1.0076,                   1.27,              0.0008119,              0.0008119,              0.0008119
                     21,                 1.3393,                 1.0518,                 1.2142,                0.61383,                0.46483,                0.45602,                0.24461,                 1.4085,                 1.0339,                  1.266,               0.000802,               0.000802,               0.000802
                     22,                 1.3437,                 1.0755,                 1.2147,                0.63736,                0.44712,                0.45419,                0.25354,                 1.3516,                0.99482,                 1.2818,              0.0007921,              0.0007921,              0.0007921
                     23,                 1.3346,                 1.0513,                 1.2043,                 0.7489,                0.46058,                0.48433,                  0.262,                 1.3747,                0.98655,                 1.2775,              0.0007822,              0.0007822,              0.0007822
                     24,                 1.2938,                 1.0097,                 1.1691,                 0.6326,                0.52542,                0.48482,                0.26228,                 1.3734,                 1.0619,                  1.253,              0.0007723,              0.0007723,              0.0007723
                     25,                 1.3108,                 1.0015,                 1.1896,                0.51009,                0.43734,                0.47959,                0.25567,                 1.3536,                0.95745,                 1.2676,              0.0007624,              0.0007624,              0.0007624
                     26,                 1.2859,                0.98707,                 1.1804,                0.69841,                0.47413,                0.48988,                0.26485,                 1.3448,                0.96162,                  1.263,              0.0007525,              0.0007525,              0.0007525
                     27,                 1.2861,                0.98371,                 1.1793,                0.70916,                0.52012,                0.50363,                0.26332,                 1.3565,                0.92809,                 1.2887,              0.0007426,              0.0007426,              0.0007426
                     28,                 1.2646,                0.94834,                 1.1723,                0.51772,                0.53054,                0.51721,                 0.2752,                 1.3895,                 0.9624,                 1.2981,              0.0007327,              0.0007327,              0.0007327
                     29,                 1.2855,                0.95757,                  1.161,                0.59313,                0.51101,                0.49196,                0.27591,                 1.3734,                0.95921,                  1.259,              0.0007228,              0.0007228,              0.0007228
                     30,                  1.248,                0.94945,                 1.1572,                0.53947,                0.48835,                0.49717,                0.27203,                 1.3576,                0.93423,                 1.2721,              0.0007129,              0.0007129,              0.0007129
                     31,                 1.2585,                0.92869,                 1.1577,                0.66799,                0.50727,                0.49063,                0.27152,                   1.35,                0.94838,                 1.2836,               0.000703,               0.000703,               0.000703
                     32,                 1.2736,                0.93455,                 1.1607,                0.47532,                0.50329,                0.49236,                0.27432,                 1.3205,                0.89102,                 1.2627,              0.0006931,              0.0006931,              0.0006931
                     33,                 1.2588,                0.93993,                 1.1536,                0.57655,                0.52738,                0.51977,                0.29614,                 1.3207,                0.94878,                 1.2401,              0.0006832,              0.0006832,              0.0006832
                     34,                 1.2181,                0.90144,                 1.1295,                0.51459,                0.49578,                0.50941,                 0.2737,                 1.3656,                0.95095,                 1.2926,              0.0006733,              0.0006733,              0.0006733
                     35,                 1.2458,                0.92979,                 1.1616,                 0.7133,                0.52123,                0.52358,                0.27839,                 1.3533,                0.90505,                 1.2666,              0.0006634,              0.0006634,              0.0006634
                     36,                 1.2393,                0.91507,                 1.1486,                0.70706,                0.46757,                 0.5109,                 0.2644,                 1.4309,                 1.0995,                 1.2903,              0.0006535,              0.0006535,              0.0006535
                     37,                  1.235,                0.89132,                  1.142,                0.47942,                 0.5547,                0.50308,                0.26583,                 1.3692,                0.93586,                 1.2591,              0.0006436,              0.0006436,              0.0006436
                     38,                 1.2301,                0.91206,                 1.1391,                0.50519,                0.51994,                0.51308,                  0.282,                 1.3436,                 0.9808,                 1.2678,              0.0006337,              0.0006337,              0.0006337
                     39,                 1.2282,                0.88858,                 1.1352,                0.46117,                0.49164,                0.49061,                0.26959,                 1.3692,                0.90794,                 1.2761,              0.0006238,              0.0006238,              0.0006238
                     40,                 1.2097,                0.88249,                 1.1405,                0.54446,                0.49549,                0.53498,                 0.2884,                 1.3746,                0.88845,                 1.2585,              0.0006139,              0.0006139,              0.0006139
                     41,                 1.1988,                0.86175,                 1.1337,                0.63794,                0.57661,                0.52763,                0.28791,                  1.357,                0.88614,                 1.2779,               0.000604,               0.000604,               0.000604
                     42,                 1.1991,                0.84574,                   1.13,                0.66418,                0.55135,                0.52127,                0.28477,                 1.3909,                0.88616,                 1.2774,              0.0005941,              0.0005941,              0.0005941
                     43,                 1.1884,                0.85369,                 1.1279,                0.72857,                0.49347,                0.53546,                0.28884,                 1.3522,                0.89268,                 1.2623,              0.0005842,              0.0005842,              0.0005842
